PCA 50 | medium       | architecture=(128,) | Accuracy=0.9793 | time= 11.9s
PCA 50 | wideShallow  | architecture=(256,) | Accuracy=0.9818 | time= 22.9s
PCA 50 | twoLayer     | architecture=(128, 64) | Accuracy=0.9791 | time= 22.2s
PCA 50 | mnistOptimal | architecture=(784,) | Accuracy=0.9823 | time= 42.3s
PCA 50 | deep         | architecture=(128, 64, 64, 64) | Accuracy=0.9775 | time= 17.7s
PCA 50 | deeper       | architecture=(64, 64, 64, 64, 64, 64, 64) | Accuracy=0.9705 | time= 24.4s
PCA 50 | twoLayerBottleNeck | architecture=(512, 256) | Accuracy=0.9805 | time= 56.1s
PCA 50 | threeLayerBottleNeck | architecture=(512, 256, 128) | Accuracy=0.9796 | time= 73.9s
PCA 50 | wideDeep     | architecture=(256, 128) | Accuracy=0.9795 | time= 32.8s
PCA 50 | shallowTaper | architecture=(512, 256, 128, 64) | Accuracy=0.9841 | time= 119.9s
PCA 50 | deepTaper    | architecture=(512, 256, 128, 64, 32, 16, 8, 4, 2) | Accuracy=0.9743 | time= 230.5s
PCA 50 | wikiWork     | architecture=(784, 800) | Accuracy=0.9831 | time= 262.3s
PCA 60 | small        | architecture=(64,) | Accuracy=0.9757 | time= 10.4s
PCA 60 | medium       | architecture=(128,) | Accuracy=0.9790 | time= 13.1s
PCA 60 | wideShallow  | architecture=(256,) | Accuracy=0.9820 | time= 20.6s
PCA 60 | twoLayer     | architecture=(128, 64) | Accuracy=0.9774 | time= 19.3s
PCA 60 | mnistOptimal | architecture=(784,) | Accuracy=0.9842 | time= 39.3s
PCA 60 | deep         | architecture=(128, 64, 64, 64) | Accuracy=0.9758 | time= 14.1s
PCA 60 | deeper       | architecture=(64, 64, 64, 64, 64, 64, 64) | Accuracy=0.9742 | time= 41.0s
PCA 60 | twoLayerBottleNeck | architecture=(512, 256) | Accuracy=0.9813 | time= 41.9s
PCA 60 | threeLayerBottleNeck | architecture=(512, 256, 128) | Accuracy=0.9811 | time= 110.2s
PCA 60 | wideDeep     | architecture=(256, 128) | Accuracy=0.9794 | time= 24.4s
PCA 60 | shallowTaper | architecture=(512, 256, 128, 64) | Accuracy=0.9825 | time= 105.9s
